STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
AS01-0,--,13.7912,0.720278,10.716,10.507,10.47,99.0,99.0,99.0,99.0,99.0,Arnica
AS03-0,--,16.09,4.2275,12.606,12.729,12.827,99.0,99.0,99.0,99.0,99.0,Arnica
AS04-1,--,28.6808,0.733056,12.371,12.033,11.962,99.0,99.0,99.0,99.0,99.0,Arnica
AS05-0,--,37.5683,5.26444,13.232,13.314,13.381,99.0,99.0,99.0,99.0,99.0,Arnica
AS05-1,--,37.5775,5.27833,14.35,13.663,13.507,99.0,99.0,99.0,99.0,99.0,Arnica
AS07-0,--,44.3383,0.310833,11.105,10.977,10.946,99.0,99.0,99.0,99.0,99.0,Arnica
AS10-0,--,73.2454,-0.244722,11.349,11.281,11.259,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-1,--,89.2933,0.0272222,12.201,11.781,11.648,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-1,--,89.2896,0.0305556,12.521,12.101,11.97,99.0,99.0,99.0,99.0,99.0,Arnica
AS13-3,--,89.2833,0.00194444,13.345,12.964,12.812,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-0,--,100.143,9.32028,10.874,10.669,12.628,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-1,--,100.151,9.31667,12.656,11.98,11.792,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-2,--,100.158,9.31139,13.711,12.927,12.719,99.0,99.0,99.0,99.0,99.0,Arnica
AS15-3,--,100.158,9.30528,14.32,13.667,13.415,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-0,--,111.064,-0.547222,14.159,14.111,13.305,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-1,--,111.06,-0.551389,13.761,13.638,13.606,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-2,--,111.064,-0.546944,11.411,11.428,11.445,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-3,--,111.072,-0.540833,13.891,13.855,13.818,99.0,99.0,99.0,99.0,99.0,Arnica
AS16-4,--,111.073,-0.551944,11.402,11.106,11.043,99.0,99.0,99.0,99.0,99.0,Arnica
AS18-0,--,132.774,11.7297,12.741,12.402,12.338,99.0,99.0,99.0,99.0,99.0,Arnica
AS18-1,--,132.765,11.7508,10.769,10.614,10.575,99.0,99.0,99.0,99.0,99.0,Arnica
AS19-0,--,132.832,11.8697,12.67,12.334,12.263,99.0,99.0,99.0,99.0,99.0,Arnica
AS19-2,--,132.834,11.88,12.745,12.448,12.437,99.0,99.0,99.0,99.0,99.0,Arnica
AS27-0,--,220.029,0.0291667,10.91,10.781,10.761,99.0,99.0,99.0,99.0,99.0,Arnica
AS27-1,--,220.03,0.0397222,12.991,12.677,12.608,99.0,99.0,99.0,99.0,99.0,Arnica
AS29-1,--,234.627,0.239167,13.904,13.566,13.503,99.0,99.0,99.0,99.0,99.0,Arnica
AS31-0,--,266.028,-0.416111,10.744,10.644,10.602,99.0,99.0,99.0,99.0,99.0,Arnica
AS31-1,--,266.026,-0.406111,12.504,12.131,12.048,99.0,99.0,99.0,99.0,99.0,Arnica
AS31-2,--,266.026,-0.406111,13.29,12.633,12.476,99.0,99.0,99.0,99.0,99.0,Arnica
AS33-0,--,276.807,4.05278,12.22,11.834,11.739,99.0,99.0,99.0,99.0,99.0,Arnica
AS33-1,--,276.802,4.03778,13.18,12.477,12.343,99.0,99.0,99.0,99.0,99.0,Arnica
AS33-2,--,276.815,4.05944,13.724,13.271,13.168,99.0,99.0,99.0,99.0,99.0,Arnica
AS36-0,--,328.105,2.3925,13.168,13.242,13.301,99.0,99.0,99.0,99.0,99.0,Arnica
AS36-1,--,328.109,2.41139,13.538,13.049,12.96,99.0,99.0,99.0,99.0,99.0,Arnica
AS36-2,--,328.093,2.40889,14.246,13.847,13.737,99.0,99.0,99.0,99.0,99.0,Arnica
AS36-3,--,328.089,2.38722,14.165,13.607,13.333,99.0,99.0,99.0,99.0,99.0,Arnica
AS36-4,--,328.106,2.39306,15.312,14.796,14.514,99.0,99.0,99.0,99.0,99.0,Arnica
AS38-0,--,340.436,1.21,11.932,11.988,12.027,99.0,99.0,99.0,99.0,99.0,Arnica
AS38-1,--,340.443,1.19778,12.994,12.657,12.588,99.0,99.0,99.0,99.0,99.0,Arnica
AS38-2,--,340.459,1.21194,11.355,11.026,10.991,99.0,99.0,99.0,99.0,99.0,Arnica
AS39-0,--,348.088,10.785,13.808,13.929,14.011,99.0,99.0,99.0,99.0,99.0,Arnica
AS39-1,--,348.086,10.7767,15.033,14.333,14.045,99.0,99.0,99.0,99.0,99.0,Arnica
Feige16,A0,28.6442,-6.76656,12.338,12.334,12.339,99.0,99.0,99.0,99.0,99.0,Conica
GD50,A0,57.2088,-0.97525,14.761,14.865,14.983,99.0,99.0,99.0,99.0,99.0,Conica
HD590,F2V,2.55,-18.85,9.2,8.982,8.959,99.0,8.892,99.0,99.0,99.0,ESO-VanDerBliek
HR0033,F5V,2.81667,-15.4644,3.988,3.697,3.665,99.0,3.634,3.64,99.0,99.0,ESO-VanDerBliek
HD1160,A0,3.9875,4.25111,7.073,7.047,7.052,99.0,7.065,99.0,99.0,99.0,ESO-VanDerBliek
HD1274,G5V,4.15417,-63.8592,8.795,8.432,8.367,99.0,8.362,99.0,99.0,99.0,ESO-VanDerBliek
HR0077,F9V,4.9625,-64.8911,3.224,2.893,2.848,99.0,2.815,2.828,99.0,99.0,ESO-VanDerBliek
HR0088,G3V,5.70833,-12.2103,5.302,4.97,4.913,99.0,4.896,4.976,99.0,99.0,ESO-VanDerBliek
HR0098,G2IV,6.3,-77.2589,1.726,1.395,1.353,99.0,1.317,1.325,99.0,99.0,ESO-VanDerBliek
HR0100,A7V,6.55,-43.6806,3.655,3.564,3.549,99.0,3.545,3.517,99.0,99.0,ESO-VanDerBliek
HD2811,A3V,7.825,-43.6067,7.207,7.106,7.09,99.0,7.072,99.0,99.0,99.0,ESO-VanDerBliek
HD3567,F5V,9.63333,-8.30194,8.263,7.968,7.931,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0180,G8III,10.3333,-46.085,3.034,2.488,2.397,99.0,2.322,2.425,99.0,99.0,ESO-VanDerBliek
HR0188,K0III,10.8917,-17.9872,0.424,-0.108,-0.208,99.0,-0.275,-0.19,99.0,99.0,ESO-VanDerBliek
HD4306,G0,11.3625,-9.54472,7.449,6.962,6.885,99.0,6.818,99.0,99.0,99.0,ESO-VanDerBliek
HD7644,F6V,18.9,-45.4333,9.504,9.259,9.216,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD8864,A5,21.8708,4.46222,8.632,8.508,8.483,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0434,K4III,22.5417,6.14444,2.47,1.708,1.559,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0440,G9III,22.8083,-49.075,2.314,1.76,1.674,99.0,1.611,1.713,99.0,99.0,ESO-VanDerBliek
HR0448,G2IV,23.425,-7.02417,4.701,4.373,4.324,99.0,4.295,99.0,99.0,99.0,ESO-VanDerBliek
HR0509,G8V,26.0417,-15.9494,2.228,1.791,1.732,99.0,1.693,1.707,99.0,99.0,ESO-VanDerBliek
HR0519,M3III,26.525,-50.8161,2.17,1.295,1.078,99.0,0.9,1.178,99.0,99.0,ESO-VanDerBliek
HR0591,F0V,29.6833,-61.5703,2.363,2.196,2.15,99.0,2.115,2.084,99.0,99.0,ESO-VanDerBliek
HR0607,A5III,30.7958,0.128056,5.158,5.057,5.047,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0705,A3V,35.4375,-68.6594,4.016,3.986,3.985,99.0,3.973,3.952,99.0,99.0,ESO-VanDerBliek
HD15189,G0V,36.6083,-13.8794,8.474,8.183,8.145,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0721,B5IV,36.7458,-47.7039,4.518,4.556,4.605,99.0,4.65,4.612,99.0,99.0,ESO-VanDerBliek
HR0718,B9III,37.0375,8.46,4.403,4.407,4.421,99.0,4.431,4.451,99.0,99.0,ESO-VanDerBliek
HD16031,F0V,38.5458,-12.3817,8.809,8.521,8.495,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0806,B9V,39.8958,-68.2669,4.235,4.254,4.276,99.0,4.289,4.297,99.0,99.0,ESO-VanDerBliek
HR0794,K0III,40.1625,-39.855,2.434,1.838,1.745,99.0,1.68,1.758,99.0,99.0,ESO-VanDerBliek
GJ105.5,M0V:p,40.175,1.19528,7.308,6.653,6.542,99.0,6.47,99.0,99.0,99.0,ESO-VanDerBliek
HR0818,F5/F6V,41.2708,-18.5731,3.617,3.379,3.347,99.0,3.325,3.309,99.0,99.0,ESO-VanDerBliek
HR0841,G8.5IIIb,42.2708,-32.4083,2.808,2.248,2.165,99.0,2.096,2.197,99.0,99.0,ESO-VanDerBliek
HR0850,K0III,42.7583,-21.0039,3.283,2.793,2.713,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD18847,F5V,45.3542,-19.9875,9.033,8.721,8.689,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0919,A4V,45.6,-23.6239,3.832,3.725,3.705,99.0,3.695,3.673,99.0,99.0,ESO-VanDerBliek
HD19904,A4III/IV,47.6792,-39.0517,6.758,6.676,6.664,99.0,6.642,99.0,99.0,99.0,ESO-VanDerBliek
HD20223,A9V,48.3583,-43.3658,8.841,8.696,8.668,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1006,G2.5V,49.4,-62.5844,4.405,4.043,3.998,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR0996,G5V,49.8375,3.36889,3.731,3.374,3.317,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1008,G8V,49.925,-43.08,3.006,2.596,2.547,99.0,2.506,2.523,99.0,99.0,ESO-VanDerBliek
HR1084,K2V,53.2458,-9.45861,2.258,1.764,1.688,99.0,1.642,1.697,99.0,99.0,ESO-VanDerBliek
HD22686,A0,54.7292,2.76389,7.207,7.188,7.198,99.0,7.2,99.0,99.0,99.0,ESO-VanDerBliek
HR1195,G9II-III,57.3625,-36.1997,2.667,2.184,2.1,99.0,2.034,2.11,99.0,99.0,ESO-VanDerBliek
HR1294,G3V,61.8333,-64.2269,5.248,4.893,4.835,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1302,A9V,62.7083,-41.9944,4.322,4.137,4.103,99.0,4.077,4.055,99.0,99.0,ESO-VanDerBliek
HR1326,K1III,63.5,-42.2917,2.088,1.459,1.356,99.0,1.277,1.4,99.0,99.0,ESO-VanDerBliek
HD28099,G2V,66.6667,16.7472,7.04,6.667,6.613,99.0,6.568,99.0,99.0,99.0,ESO-VanDerBliek
HR1453,G6III,68.3792,-29.7628,2.863,2.302,2.222,99.0,2.146,2.222,99.0,99.0,ESO-VanDerBliek
HD29250,A4IV,68.8042,-29.6367,9.508,9.388,9.381,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1464,G8IIIa,68.8875,-30.5622,2.294,1.783,1.699,99.0,1.628,1.719,99.0,99.0,ESO-VanDerBliek
HR1756,B0.5IV,79.8917,-13.1767,4.893,4.994,5.086,99.0,5.169,99.0,99.0,99.0,ESO-VanDerBliek
HR1790,B2III,81.2833,6.34972,2.154,2.228,2.295,99.0,2.345,2.309,99.0,99.0,ESO-VanDerBliek
HR1891,B2.5V,83.8417,-4.42444,6.592,6.631,6.68,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1899,O9III,83.8583,-5.91,3.322,3.413,3.495,99.0,3.56,99.0,99.0,99.0,ESO-VanDerBliek
HD38150,F8V,84.6083,-67.1861,8.206,7.922,7.888,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1950,B1.5V,85.1542,-2.82528,6.699,6.78,6.858,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR1983,F7V,86.1208,-22.4433,2.73,2.465,2.432,99.0,2.399,2.395,99.0,99.0,ESO-VanDerBliek
HR2015,A7V,86.1958,-65.7358,3.897,3.763,3.742,99.0,3.719,3.685,99.0,99.0,ESO-VanDerBliek
HR2020,A5V,86.8208,-51.0678,3.581,3.502,3.495,99.0,3.481,3.422,99.0,99.0,ESO-VanDerBliek
HD38921,A0V,86.8417,-38.2311,7.58,7.556,7.546,99.0,7.555,99.0,99.0,99.0,ESO-VanDerBliek
HR2007,G4V,87.1458,-4.09139,4.843,4.492,4.45,99.0,4.451,99.0,99.0,99.0,ESO-VanDerBliek
HR2085,F1V,89.1,-14.1697,3.128,2.948,2.927,99.0,2.907,2.886,99.0,99.0,ESO-VanDerBliek
HD40335,A0,89.5542,1.85639,6.565,6.478,6.47,99.0,6.468,99.0,99.0,99.0,ESO-VanDerBliek
HR2290,G3V,95.0208,-48.7375,5.52,5.189,5.141,99.0,5.123,5.118,99.0,99.0,ESO-VanDerBliek
HR2354,G3III-IV,96.1083,-63.4275,5.375,5.053,5.004,99.0,4.989,5.003,99.0,99.0,ESO-VanDerBliek
HR2318,G2IV,96.1875,-28.7783,5.284,4.971,4.923,99.0,4.908,4.85,99.0,99.0,ESO-VanDerBliek
HR2429,K1III+,99.1708,-19.255,2.282,1.742,1.654,99.0,1.576,1.695,99.0,99.0,ESO-VanDerBliek
HR2451,B8III,99.4417,-43.1958,3.337,3.36,3.391,99.0,3.412,3.38,99.0,99.0,ESO-VanDerBliek
HR2491,A1V,101.296,-16.6994,-1.416,-1.401,-1.383,99.0,-1.345,99.0,99.0,99.0,ESO-VanDerBliek
HR2550,A7IV,102.05,-61.945,2.785,2.674,2.651,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD52298,F5/F6V,104.438,-52.6431,6.019,5.749,5.718,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR2672,A4IV,105.975,-49.5858,4.669,4.607,4.604,99.0,4.591,99.0,99.0,99.0,ESO-VanDerBliek
HR2667,G3V,105.992,-43.6133,4.47,4.137,4.094,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR2668,K0V,105.996,-43.6169,5.507,5.078,5.018,99.0,4.974,5.068,99.0,99.0,ESO-VanDerBliek
HR2701,K0III,107.558,-4.24,3.22,2.635,2.55,99.0,2.468,2.553,99.0,99.0,ESO-VanDerBliek
HR2882,G4V,112.679,-37.3403,5.562,5.224,5.17,99.0,5.146,5.137,99.0,99.0,ESO-VanDerBliek
HD60778,A1V,114.05,-0.136944,8.787,8.714,8.692,99.0,8.712,99.0,99.0,99.0,ESO-VanDerBliek
HR2970,G9III,115.312,-9.55083,2.289,1.735,1.646,99.0,1.558,1.683,99.0,99.0,ESO-VanDerBliek
HR3018,G0V,116.4,-34.1961,4.231,3.855,3.799,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR3090,B0.5Ib,118.325,-48.1031,4.558,4.598,4.65,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR3138,G0V,119.429,-60.3047,4.561,4.255,4.216,99.0,4.132,99.0,99.0,99.0,ESO-VanDerBliek
HR3176,G1IV,121.942,21.5828,4.219,3.898,3.835,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR3300,A0V,125.729,-52.1242,5.906,5.902,5.914,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR3314,A0V,126.417,-3.90611,3.932,3.932,3.944,99.0,3.938,3.95,99.0,99.0,ESO-VanDerBliek
HR3421,G4IV-V,129.338,-40.1481,5.521,5.211,5.171,99.0,5.146,99.0,99.0,99.0,ESO-VanDerBliek
HR3476,B0IIIn,130.917,-49.8228,5.575,5.649,5.719,99.0,5.795,99.0,99.0,99.0,ESO-VanDerBliek
HR3484,G8III,131.592,-13.5475,2.817,2.326,2.249,99.0,2.172,2.237,99.0,99.0,ESO-VanDerBliek
HD75223,A1V,131.842,-39.7997,7.316,7.301,7.295,99.0,7.279,99.0,99.0,99.0,ESO-VanDerBliek
HD77281,A2,135.408,-1.47639,7.11,7.051,7.045,99.0,7.049,99.0,99.0,99.0,ESO-VanDerBliek
HR3614,K2III,136.037,-47.0975,1.9,1.299,1.193,99.0,1.096,1.253,99.0,99.0,ESO-VanDerBliek
HR3613,K2Iab:,136.492,5.0925,3.022,2.387,2.279,99.0,2.154,99.0,99.0,99.0,ESO-VanDerBliek
HR3634,K4Ib-II,137.0,-43.4328,-0.556,-1.375,-1.575,99.0,-1.745,99.0,99.0,99.0,ESO-VanDerBliek
HR3685,A2IV,138.308,-69.7186,1.593,1.543,1.544,99.0,1.537,99.0,99.0,99.0,ESO-VanDerBliek
HR3718,M0III,140.375,-25.9653,1.663,0.77,0.553,99.0,0.41,99.0,99.0,99.0,ESO-VanDerBliek
HR3785,F0Vn,142.912,-10.5519,5.634,5.462,5.433,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR3842,G8II,144.504,-43.1903,3.971,3.493,3.413,99.0,3.342,3.418,99.0,99.0,ESO-VanDerBliek
HD83844,K0III,145.158,-21.5817,6.046,5.473,5.398,99.0,5.345,99.0,99.0,99.0,ESO-VanDerBliek
HR3862,G0V,145.567,-23.9192,3.985,3.716,3.685,99.0,3.654,99.0,99.0,99.0,ESO-VanDerBliek
HR3871,A8V+,146.05,-27.77,3.727,3.335,3.266,99.0,3.193,3.266,99.0,99.0,ESO-VanDerBliek
HR3903,G6/G8III,147.871,-14.8461,2.62,2.135,2.051,99.0,1.987,2.037,99.0,99.0,ESO-VanDerBliek
HR3981,A0III,151.983,-0.371389,4.492,4.495,4.51,99.0,4.536,99.0,99.0,99.0,ESO-VanDerBliek
HR3994,K0III,152.65,-12.3528,2.012,1.529,1.429,99.0,1.362,99.0,99.0,99.0,ESO-VanDerBliek
HR4013,G1V,153.358,-33.0325,5.362,5.047,5.003,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4023,A2V,153.688,-42.1225,3.772,3.752,3.752,99.0,3.746,3.741,99.0,99.0,ESO-VanDerBliek
HR4102,F2IV,156.1,-74.0311,3.34,3.158,3.136,99.0,3.116,3.074,99.0,99.0,ESO-VanDerBliek
GJ390,M0,156.304,-10.2303,6.973,6.286,6.069,99.0,5.844,99.0,99.0,99.0,ESO-VanDerBliek
HR4094,K4III,156.525,-16.835,1.326,0.538,0.375,99.0,0.25,99.0,99.0,99.0,ESO-VanDerBliek
HR4167,F4IV+,159.329,-48.2253,3.312,3.153,3.132,99.0,3.115,3.093,99.0,99.0,ESO-VanDerBliek
HR4232,K0/K1III,162.404,-16.1964,1.09,0.381,0.285,99.0,0.171,99.0,99.0,99.0,ESO-VanDerBliek
HR4257,K1III,163.371,-58.8536,2.234,1.704,1.621,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4273,K1III,164.179,-37.1361,2.972,2.426,2.336,99.0,2.246,99.0,99.0,99.0,ESO-VanDerBliek
HR4293,A3IV,165.037,-42.2258,4.15,4.074,4.062,99.0,4.053,99.0,99.0,99.0,ESO-VanDerBliek
HR4325,G8III,166.637,-62.4242,3.025,2.5,2.409,99.0,2.331,99.0,99.0,99.0,ESO-VanDerBliek
HD96620,A0IV,166.729,-58.7933,5.526,5.366,5.345,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4450,G7III,173.254,-31.8569,2.045,1.559,1.471,99.0,1.391,1.469,99.0,99.0,ESO-VanDerBliek
HD101452,A2,175.058,-39.1464,7.017,6.877,6.855,99.0,6.835,99.0,99.0,99.0,ESO-VanDerBliek
HD102200,F2V,176.392,-46.0614,7.783,7.467,7.429,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4520,A7III,176.404,-66.7292,3.352,3.266,3.253,99.0,3.23,3.189,99.0,99.0,ESO-VanDerBliek
HR4523,G5V,176.658,-40.5058,3.728,3.355,3.307,99.0,3.272,3.287,99.0,99.0,ESO-VanDerBliek
HR4620,B9V,182.062,-48.6925,5.292,5.293,5.297,99.0,5.29,99.0,99.0,99.0,ESO-VanDerBliek
HR4623,F0IV/V,182.1,-24.7283,3.408,3.233,3.212,99.0,3.186,99.0,99.0,99.0,ESO-VanDerBliek
HR4638,B3V,182.912,-52.3683,4.325,4.391,4.445,99.0,4.469,99.0,99.0,99.0,ESO-VanDerBliek
HR4662,B8III,183.954,-17.5422,2.772,2.793,2.817,99.0,2.828,2.862,99.0,99.0,ESO-VanDerBliek
HD106965,A2,184.492,1.57528,7.391,7.337,7.332,99.0,7.296,99.0,99.0,99.0,ESO-VanDerBliek
HR4695,K0IIIb,185.092,3.31361,3.014,2.322,2.213,99.0,2.122,2.304,99.0,99.0,ESO-VanDerBliek
HR4743,B2V,187.012,-50.2303,4.372,4.441,4.517,99.0,4.578,99.0,99.0,99.0,ESO-VanDerBliek
HR4757,B9.5V,187.471,-16.5133,3.038,3.041,3.061,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4802,A2V,189.429,-48.5411,3.749,3.707,3.706,99.0,3.691,3.656,99.0,99.0,ESO-VanDerBliek
HR4831,K0III,190.65,-48.8125,2.913,2.377,2.28,99.0,2.201,99.0,99.0,99.0,ESO-VanDerBliek
HD110621,F8,190.933,-44.675,8.952,8.613,8.577,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4889,A7III,193.358,-40.1786,3.832,3.684,3.665,99.0,3.633,99.0,99.0,99.0,ESO-VanDerBliek
HR4903,G1V,193.746,-44.1489,4.853,4.559,4.507,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR4933,A0V,195.887,-49.5269,4.816,4.779,4.78,99.0,4.78,99.0,99.0,99.0,ESO-VanDerBliek
HR4989,F7IV,198.571,-59.1008,4.012,3.721,3.68,99.0,3.646,3.641,99.0,99.0,ESO-VanDerBliek
HR5028,A2V,200.154,-36.7111,2.723,2.704,2.705,99.0,2.699,2.675,99.0,99.0,ESO-VanDerBliek
HR5041,G6II,201.0,-64.5353,3.148,2.676,2.597,99.0,2.533,99.0,99.0,99.0,ESO-VanDerBliek
HR5107,A3V,203.675,-0.596389,3.19,3.117,3.099,99.0,3.085,99.0,99.0,99.0,ESO-VanDerBliek
HR5132,B1III,204.971,-53.4661,2.815,2.912,2.993,99.0,3.055,3.049,99.0,99.0,ESO-VanDerBliek
HR5241,K0III,209.412,-63.6861,2.957,2.374,2.274,99.0,2.192,99.0,99.0,99.0,ESO-VanDerBliek
HR5249,B2IV-V,209.671,-44.8031,4.342,4.43,4.507,99.0,4.575,4.534,99.0,99.0,ESO-VanDerBliek
HR5384,G1V,215.808,1.24833,5.126,4.749,4.703,99.0,4.571,4.597,99.0,99.0,ESO-VanDerBliek
HR5444,K3III,219.079,-46.2456,3.063,2.258,2.092,99.0,1.956,99.0,99.0,99.0,ESO-VanDerBliek
HR5487,F2III,220.762,-5.65389,3.147,2.926,2.898,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD129655,A2,220.942,-2.505,6.864,6.74,6.714,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR5489,A0V,221.246,-35.1917,4.894,4.845,4.843,99.0,4.839,99.0,99.0,99.0,ESO-VanDerBliek
HR5494,A1V,221.621,-47.4408,5.663,5.612,5.611,99.0,5.611,99.0,99.0,99.0,ESO-VanDerBliek
HD130163,A0V,221.946,-39.9261,6.885,6.857,6.861,99.0,6.856,99.0,99.0,99.0,ESO-VanDerBliek
HR5531,A3IV,222.721,-16.0408,2.527,2.445,2.429,99.0,2.406,99.0,99.0,99.0,ESO-VanDerBliek
HR5649,G8III,228.075,-52.0981,1.938,1.434,1.343,99.0,1.292,1.361,99.0,99.0,ESO-VanDerBliek
HR5685,B8V,229.254,-9.3825,2.801,2.816,2.844,99.0,2.873,2.872,99.0,99.0,ESO-VanDerBliek
HR5670,A3V,229.379,-58.7992,3.926,3.889,3.904,99.0,3.882,99.0,99.0,99.0,ESO-VanDerBliek
HR5699,G4V,230.483,-48.3136,4.514,4.142,4.104,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR5824,K3III,235.071,-23.8181,2.853,2.195,2.058,99.0,1.944,2.143,99.0,99.0,ESO-VanDerBliek
HR5897,F2III,238.792,-63.425,2.298,2.137,2.107,99.0,2.069,2.052,99.0,99.0,ESO-VanDerBliek
HR5917,A3V,238.875,-26.2656,5.332,5.229,5.211,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR5962,G8III,240.804,-49.2297,3.145,2.677,2.588,99.0,2.524,99.0,99.0,99.0,ESO-VanDerBliek
HR6070,A0V,244.575,-28.6128,4.831,4.799,4.813,99.0,4.807,4.717,99.0,99.0,ESO-VanDerBliek
HR6072,G8III,244.963,-50.1547,2.318,1.77,1.667,99.0,1.589,1.72,99.0,99.0,ESO-VanDerBliek
HR6084,B1III,245.296,-25.5925,2.495,2.406,2.407,99.0,2.406,2.385,99.0,99.0,ESO-VanDerBliek
HR6094,G5V,246.004,-39.1931,4.314,3.976,3.928,99.0,3.891,3.874,99.0,99.0,ESO-VanDerBliek
HR6136,K4III,247.142,0.666111,2.973,2.219,2.052,99.0,1.921,2.189,99.0,99.0,ESO-VanDerBliek
HR6147,G8/K0III,247.783,-16.6122,2.817,2.353,2.265,99.0,2.204,2.289,99.0,99.0,ESO-VanDerBliek
HR6241,K2.5III,252.55,-34.2897,0.411,-0.181,-0.288,99.0,-0.364,-0.216,99.0,99.0,ESO-VanDerBliek
HR6378,A2.5Va,257.592,-15.7261,2.325,2.283,2.274,99.0,2.257,2.229,99.0,99.0,ESO-VanDerBliek
HD156005,K2III:,259.2,-37.4094,5.847,5.033,4.861,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR6441,G1V,260.146,-19.3311,5.52,5.219,5.168,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR6417,K2III,260.5,-67.7703,2.776,2.121,1.995,99.0,1.898,99.0,99.0,99.0,ESO-VanDerBliek
HR6537,A0V,263.917,-46.505,4.578,4.539,4.536,99.0,4.524,99.0,99.0,99.0,ESO-VanDerBliek
HR6572,A0V,265.317,-46.9217,5.739,5.728,5.738,99.0,5.726,99.0,99.0,99.0,ESO-VanDerBliek
HD160617,Fw,265.708,-40.3153,7.72,7.38,7.343,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD161743,B9IV,267.242,-38.1183,7.667,7.638,7.641,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR6630,K2III,267.462,-37.0436,1.269,0.637,0.524,99.0,0.436,0.584,99.0,99.0,ESO-VanDerBliek
HR6682,M0III,269.45,-41.7161,1.823,0.938,0.735,99.0,0.594,99.0,99.0,99.0,ESO-VanDerBliek
HR6698,G9III,269.758,-9.77194,1.752,1.241,1.15,99.0,1.086,1.178,99.0,99.0,ESO-VanDerBliek
HR6736,O8Iab:,270.967,-24.3606,5.817,5.773,5.796,99.0,5.819,5.802,99.0,99.0,ESO-VanDerBliek
HR6746,K0III,271.454,-30.4214,1.285,0.722,0.639,99.0,0.595,0.667,99.0,99.0,ESO-VanDerBliek
HR6748,G5V,271.596,-36.02,4.898,4.581,4.537,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HD166913,F6:Vw,274.113,-59.4014,7.261,6.949,6.913,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
HR6879,B9.5III,276.042,-34.3831,1.796,1.761,1.758,99.0,1.739,1.717,99.0,99.0,ESO-VanDerBliek
HR6893,B5IV,276.479,-33.9453,6.397,6.411,6.444,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
SAO245532,F9,278.033,-59.4617,8.884,8.612,8.567,99.0,99.0,99.0,99.0,99.0,ESO-VanDerBliek
