STARS,SP_TYPE,RA,DEC,J,H,K,Ks,L,M,Lp,Mp,source
Hip060074,G2V,184.778,16.5487,5.85,5.618,5.524,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060096,G3V,184.864,-26.1071,7.143,6.84,6.763,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060097,G0V,184.868,24.2843,7.885,7.574,7.501,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060206,G0V,185.19,25.7659,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060317,G2V,185.519,-31.946,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060480,G3V,185.981,-46.6779,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060545,G1V,186.177,-20.0713,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060691,G2V,186.581,-24.2721,6.875,6.6,6.523,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060773,G3V,186.854,-41.4945,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060779,G3V,186.87,-48.1308,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060811,G1V,186.959,-25.3282,7.601,7.372,7.343,99.0,99.0,99.0,99.0,99.0,Isaac
Hip060845,G3V,187.07,-61.7653,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061052,G2V,187.706,-34.5366,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061067,G0V,187.739,-61.4931,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061153,G1V,187.97,-12.6795,7.207,6.982,6.892,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061323,G1V,188.454,-23.5155,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061345,G1V,188.54,-18.195,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061352,G1V,188.57,-52.3841,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061412,G0V,188.754,-26.7126,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061484,G2V,188.968,-53.3747,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061493,G2V,188.991,11.4056,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061518,G3V,189.065,-27.4306,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061595,G3V,189.319,-40.8121,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061627,G1V,189.464,-32.4516,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061663,G0V,189.607,-50.5239,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061698,G0V,189.705,-51.2156,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061723,G3V,189.777,-74.574,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061729,G3V,189.794,-40.3687,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061788,G0V,189.968,-74.2602,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061804,G3V,190.0,-17.6843,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061840,G2V,190.092,-49.4004,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061984,G1V,190.537,-31.8195,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip061999,G3V,190.587,-43.4797,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062014,G1V,190.65,29.1624,8.199,7.926,7.867,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062028,G3V,190.711,-39.5023,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062129,G0V,190.997,27.3251,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,Isaac
Hip062218,G1V,191.27,27.7471,7.698,7.373,7.33,99.0,99.0,99.0,99.0,99.0,Isaac
